Source,Exclusive,OBJECTID,Join_Count,TARGET_FID,fid_,store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_grou,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips,Join_Cou_1,TARGET_F_1,STATEFP,COUNTYFP,GEOID,NAME,NAME_CAP,NAMELSAD,GISJOIN,Cty_ID,GA_AAA
SNAP,SNAP and WIC,9089,1,99,0,BELL'S FOOD STORE #9,st_159252,1325,Washington St,,Jefferson,GA,30549,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-83.58887,34.13079,usda,,0,SM,L167674,13,1,9088,13,157,13157,Jackson,JACKSON,Jackson County,G1301570,13157,5
SNAP,SNAP Exclusive,9090,1,153,0,Bell Vegetables,st_373445,6002,Cass St,,Preston,GA,31824,Farmers' Market,6,Farmers Market,2,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-84.53633,32.07649,usda,,0,FM,L167696,13,1,9089,13,307,13307,Webster,WEBSTER,Webster County,G1303070,13307,6
SNAP,SNAP Exclusive,9091,1,45,0,Bella Foodmart,st_380133,101,First Paulding Dr,,Dallas,GA,30132,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,1,1,1,2016,2018,-84.83021,33.92127,usda,,0,CS,L037432,13,1,9090,13,223,13223,Paulding,PAULDING,Paulding County,G1302230,13223,1
SNAP,SNAP Exclusive,9092,1,138,0,BELLE FOODS 593,st_335542,1425,Rocky Creek Rd,,Macon,GA,31206,Supermarket,16,Supermarket,6,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.66926,32.79078,usda,,0,SM,L039523,13,1,9091,13,21,13021,Bibb,BIBB,Bibb County,G1300210,13021,7
SNAP,SNAP Exclusive,9093,1,96,0,Bells Ferry Chevron,st_373387,11429,Bells Ferry Rd,,Canton,GA,30114,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-84.52341,34.2041,usda,,0,CS,L036661,13,1,9092,13,57,13057,Cherokee,CHEROKEE,Cherokee County,G1300570,13057,3
SNAP,SNAP and WIC,9094,1,136,0,BELLS FOOD MARKET #10,st_072181,110,N Peachtree St,,Lincolnton,GA,30817,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.47737,33.79252,usda,,0,SM,L167766,13,1,9093,13,181,13181,Lincoln,LINCOLN,Lincoln County,G1301810,13181,8
SNAP,SNAP and WIC,9095,1,66,0,BELLS FOOD MARKET 4,st_087201,740,Athens Rd,,Lexington,GA,30648,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-83.12409,33.88437,usda,,0,SS,L167767,13,1,9094,13,221,13221,Oglethorpe,OGLETHORPE,Oglethorpe County,G1302210,13221,5
SNAP,SNAP Exclusive,9096,1,150,0,BELLSMIT FOOD,st_029199,520,W Parker St Ste B,,Baxley,GA,31513,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.35351,31.78002,usda,,0,CS,L167775,13,1,9095,13,1,13001,Appling,APPLING,Appling County,G1300010,13001,9
SNAP,SNAP Exclusive,9097,1,80,0,Bellwood Sunoco,st_252132,784,Belwood Rd Se,,Calhoun,GA,30701,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,1,1,1,1,2011,2018,-84.91445,34.45087,usda,,0,CS,L167781,13,1,9096,13,129,13129,Gordon,GORDON,Gordon County,G1301290,13129,1
SNAP,SNAP Exclusive,9098,1,41,0,"Bengal Store & Halal Meat, Inc 2",st_312045,535,Indian Trail Rd,,Lilburn,GA,30047,Medium Grocery Store,10,Grocer,1,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-84.14137,33.89923,usda,,0,MG,L167869,13,1,9097,13,135,13135,Gwinnett,GWINNETT,Gwinnett County,G1301350,13135,3
