store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips
ALDAYS COUNTRY STORE,st_153614,6827,GA Highway 374,NA,Donalsonville,GA,39845,Small Grocery Store,14,Grocer,1,1,0,0,0,0,0,0,0,0,0,0,2008,2008,-84.86458299,30.90042029,esri,StreetAddress,0,NA,L037726,13
Braswell Produce,st_170295,412,W 3rd St,NA,Donalsonville,GA,39845,Small Grocery Store,14,Grocer,1,0,1,0,0,0,0,0,0,0,0,0,2009,2009,-84.88710173,31.04092074,esri,StreetAddress,0,NA,L037739,13
Walmart Neighborhood Mkt 4254,st_366829,907,Marianna Hwy,NA,Donalsonville,GA,39845,Super Store,15,Supermarket,6,0,0,0,0,0,0,0,1,0,0,0,2015,2015,-84.88929486,31.02649415,esri,StreetAddress,0,NA,L037740,13
Harveys Supermarket 1638,st_347903,101,W 3rd St,NA,Donalsonville,GA,39845,Super Store,15,Supermarket,6,0,0,0,0,0,0,1,1,1,0,0,2014,2016,-84.88261884,31.04039492,esri,StreetAddress,0,NA,L037741,13
HARVEY'S SUPERMARKET 2371,st_089488,101,W 3rd St,NA,Donalsonville,GA,39845,Supermarket,16,Supermarket,6,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-84.88261884,31.04039492,esri,StreetAddress,0,NA,L037741,13
SH Bakery,st_259161,6035,Peachtree Road,Suite T- 6,Doraville,GA,30360,Bakery Specialty,1,Specialty,5,0,0,0,1,1,1,0,0,0,0,0,2011,2013,-84.28973358,33.9074634,esri,StreetAddress,0,NA,L037742,13
ANGLERS CORNER,st_047942,5425,Buford Hwy NE,NA,Doraville,GA,30340,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-84.27751,33.90007,usda,NA,0,NA,L037743,13
DORAVILLE SUPERMARKET,st_118326,5764,Buford Hwy NE,NA,Doraville,GA,30340,Convenience Store,3,Small retail,4,1,0,0,0,0,0,0,0,0,0,0,2008,2008,-84.26839628,33.90769866,esri,StreetAddress,0,NA,L037744,13
AMOCO FOOD MART,st_057795,4580,Winters Chapel Rd,NA,Doraville,GA,30360,Convenience Store,3,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,2008,2009,-84.26653132,33.92834253,esri,PointAddress,0,NA,L037745,13
MINI FOOD MARKET,st_135713,6890,Peachtree Industrial Blvd,NA,Doraville,GA,30360,Convenience Store,3,Small retail,4,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-84.26630168,33.9306409,esri,PointAddress,0,NA,L037746,13
Asian Super Market,st_394275,5150,Buford Highway,Suite B199,Doraville,GA,30340,Large Grocery Store,8,Grocer,1,0,0,0,0,0,0,0,0,1,0,0,2016,2016,-84.28401014,33.89340023,esri,PointAddress,0,NA,L037747,13
E G MART,st_035791,5250,Buford Hwy NE,NA,Doraville,GA,30340,Meat/Poultry Specialty,9,Specialty,5,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-84.28195708,33.89653286,esri,StreetAddress,0,NA,L037748,13
1 Stop Variety Store,st_267006,7130,Buford Hwy NE,Ste F,Doraville,GA,30340,Small Grocery Store,14,Grocer,1,0,0,0,1,1,1,0,0,0,0,0,2011,2013,-84.25661273,33.91954262,esri,PointAddress,0,NA,L037749,13
Carnicaria Y Tienda La Confianza 2,st_172731,4939,WINTER CHAPEL ROAD,NA,DORAVILLE,GA,30360,Small Grocery Store,14,Grocer,1,0,1,1,1,1,1,1,0,0,0,0,2009,2014,-84.2699364,33.94018649,esri,PointAddress,0,NA,L037750,13
99 RANCH MARKET,st_018301,5150,BUFORD HIGHWAY,NA,DORAVILLE,GA,30340,Super Store,15,Supermarket,6,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-84.28401014,33.89340023,esri,PointAddress,0,NA,L037751,13
BIG KMART 4451,st_116437,5597,Buford Hwy NE,NA,Doraville,GA,30340,Super Store,15,Supermarket,6,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-84.27215145,33.90424643,esri,PointAddress,0,NA,L037752,13
KWICK WAY FOODS II,st_133636,707,W HIGHLAND AVE,NA,DOUGHERTY,GA,31701,Convenience Store,3,Small retail,4,1,0,0,0,0,0,0,0,0,0,0,2008,2008,-84.165462,31.5738205,esri,PointAddress,0,NA,L037753,13
Sweet Thangs Bakery,st_234579,802,Peterson Ave S,Ste D,Douglas,GA,31533,Bakery Specialty,1,Specialty,5,0,0,0,1,0,0,0,0,0,0,0,2011,2011,-82.85071936,31.49905536,esri,PointAddress,0,NA,L037754,13
Sweet Things Bakery,st_272077,802,Peterson Ave S,Ste D,Douglas,GA,31533,Bakery Specialty,1,Specialty,5,0,0,0,0,1,0,0,0,0,0,0,2012,2012,-82.85071936,31.49905536,esri,PointAddress,0,NA,L037754,13
BENTON SEAFOOD INC,st_162340,511,Baker Hwy W,NA,Douglas,GA,31533,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,0,0,0,2008,2015,-82.85560237,31.50116543,esri,PointAddress,0,NA,L037755,13
Sai Grocery,st_287667,801,Bryan St W,NA,Douglas,GA,31533,Combination Grocery/Other,2,Small retail,4,0,0,0,0,1,1,1,1,1,0,0,2012,2016,-82.85929269,31.50677249,esri,PointAddress,0,NA,L037756,13
Green Acres Grocery 1,st_420972,1790,Ramblewood Rd,NA,Douglas,GA,31535,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,0,1,0,2017,2017,-82.83224,31.40357,usda,NA,0,NA,L037757,13
BETHEL GROCERY,st_088212,1993,Willacoochee Hwy,NA,Douglas,GA,31535,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,0,0,0,2008,2015,-82.88176143,31.46612739,esri,PointAddress,0,NA,L037758,13
ADEN'S MINIT MARKET 40,st_158625,2630,US Highway 441 S,NA,Douglas,GA,31535,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,0,0,2008,2016,-82.85089271,31.47115158,esri,PointAddress,0,NA,L037759,13
QUICK CHANGE 42,st_127600,1400,Bowens Mill Rd SE,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-82.84666228,31.48756757,esri,PointAddress,0,NA,L037760,13
ADEN'S MINIT MARKET 42,st_158652,1025,BELL LAKE RD/HWY 58,NA,DOUGLAS,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-82.8288842,31.4919859,google,geometric_center,0,NA,L037761,13
MACKS MINIT MART #1,st_048234,1304,McDonald Rd,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.83909755,31.49498341,esri,PointAddress,0,NA,L037762,13
MK FOOD MART 2,st_053648,1436,Baker Hwy W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.87253057,31.49760872,esri,PointAddress,0,NA,L037763,13
R AND M GROCERY,st_009512,1000,Baker Hwy W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,2008,2009,-82.86206894,31.50090955,esri,PointAddress,0,NA,L037764,13
JAY FOOD MART,st_182740,1000,Baker Hwy W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,1,1,1,0,0,0,0,0,0,0,2009,2011,-82.86206894,31.50090955,esri,PointAddress,0,NA,L037764,13
Tienda Y Tortilleria Dos Hermanos,st_269525,336,Peterson Ave S,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,0,1,1,0,0,0,0,0,2012,2013,-82.85044891,31.50593514,esri,StreetAddress,0,NA,L037765,13
YOGIS SAI CASH,st_056259,801,Bryan St W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.85929269,31.50677249,esri,PointAddress,0,NA,L037756,13
JET FOOD STORE 84,st_049384,921,Ward St W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-82.86060434,31.50930451,esri,StreetAddress,0,NA,L037766,13
BP Stop #1,st_254224,921,Ward St W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,1,0,0,0,2011,2015,-82.86060434,31.50930451,esri,StreetAddress,0,NA,L037766,13
BP Stop 1,st_397091,921,Ward St W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,1,0,0,2016,2016,-82.86060434,31.50930451,esri,StreetAddress,0,NA,L037766,13
CLYDES MARKET 5,st_028568,1601,Ocilla Rd,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-82.87153,31.51276,usda,NA,0,NA,L037767,13
FOUR POINT FOOD MART,st_038660,110,Walker St E,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.85050317,31.51708186,esri,StreetAddress,0,NA,L037768,13
JPS MINI MART,st_033465,1413,US Highway 221 N,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,0,0,0,0,0,0,0,0,0,0,2008,2008,-82.82004881,31.52392552,esri,PointAddress,0,NA,L037769,13
JET FOOD STORE 88,st_049385,3887,Bowens Mill Rd,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-82.87625659,31.52613818,esri,PointAddress,0,NA,L037770,13
BP Stop #2,st_254219,3887,Bowens Mill Rd,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,0,0,0,0,2011,2014,-82.87625659,31.52613818,esri,PointAddress,0,NA,L037770,13
